Area,B,C,D,E,F,G,H,I,J
123,1,1,1,2,1,2,2,1,2
124,1,1,1,2,1,2,2,2,2
125,1,1,1,2,1,2,2,3,2
126,1,1,1,2,1,2,3,1,2
127,1,1,1,2,1,2,3,2,2
128,1,1,1,2,1,2,3,3,2
129,1,1,1,2,1,2,4,1,2
130,1,1,1,2,1,2,4,2,2
131,1,1,1,2,1,2,4,3,2
132,1,1,1,2,1,3,1,1,2
133,1,1,1,2,1,3,1,2,2
134,1,1,1,2,1,3,1,3,2
135,1,1,1,2,1,3,2,1,2
136,1,1,1,2,1,3,2,2,2
137,1,1,1,2,1,3,2,3,2
138,1,1,1,2,1,3,3,1,2
139,1,1,1,2,1,3,3,2,2
140,1,1,1,2,1,3,3,3,2
141,1,1,1,2,1,3,4,1,2
142,1,1,1,2,1,3,4,2,2
143,1,1,1,2,1,3,4,3,2
144,1,1,1,2,2,1,1,1,2
145,1,1,1,2,2,1,1,2,2
146,1,1,1,2,2,1,1,3,2
147,1,1,1,2,2,1,2,1,2
148,1,1,1,2,2,1,2,2,2
149,1,1,1,2,2,1,2,3,2
150,1,1,1,2,2,1,3,1,2
151,1,1,1,2,2,1,3,2,2
152,1,1,1,2,2,1,3,3,2
153,1,1,1,2,2,1,4,1,2
154,1,1,1,2,2,1,4,2,2
155,1,1,1,2,2,1,4,3,2
156,1,1,1,2,2,2,1,1,2
157,1,1,1,2,2,2,1,2,2
158,1,1,1,2,2,2,1,3,2
159,1,1,1,2,2,2,2,1,2
160,1,1,1,2,2,2,2,2,2
161,1,1,1,2,2,2,2,3,2
162,1,1,1,2,2,2,3,1,2
163,1,1,1,2,2,2,3,2,2
164,1,1,1,2,2,2,3,3,2
165,1,1,1,2,2,2,4,1,2
166,1,1,1,2,2,2,4,2,2
167,1,1,1,2,2,2,4,3,2
168,1,1,1,2,2,3,1,1,2
169,1,1,1,2,2,3,1,2,2
170,1,1,1,2,2,3,1,3,2
171,1,1,1,2,2,3,2,1,2
172,1,1,1,2,2,3,2,2,2
173,1,1,1,2,2,3,2,3,2
174,1,1,1,2,2,3,3,1,2
175,1,1,1,2,2,3,3,2,2
176,1,1,1,2,2,3,3,3,2
177,1,1,1,2,2,3,4,1,2
178,1,1,1,2,2,3,4,2,2
179,1,1,1,2,2,3,4,3,2
180,1,1,1,2,3,1,1,1,2
181,1,1,1,2,3,1,1,2,2
182,1,1,1,2,3,1,1,3,2
183,1,1,1,2,3,1,2,1,2
184,1,1,1,2,3,1,2,2,2
185,1,1,1,2,3,1,2,3,2
186,1,1,1,2,3,1,3,1,2
187,1,1,1,2,3,1,3,2,2
188,1,1,1,2,3,1,3,3,2
189,1,1,1,2,3,1,4,1,2
190,1,1,1,2,3,1,4,2,2
191,1,1,1,2,3,1,4,3,2
192,1,1,1,2,3,2,1,1,2
193,1,1,1,2,3,2,1,2,2
194,1,1,1,2,3,2,1,3,2
195,1,1,1,2,3,2,2,1,2
196,1,1,1,2,3,2,2,2,2
197,1,1,1,2,3,2,2,3,2
198,1,1,1,2,3,2,3,1,2
199,1,1,1,2,3,2,3,2,2
200,1,1,1,2,3,2,3,3,2
201,1,1,1,2,3,2,4,1,2
202,1,1,1,2,3,2,4,2,2
203,1,1,1,2,3,2,4,3,2
204,1,1,1,2,3,3,1,1,2
205,1,1,1,2,3,3,1,2,2
206,1,1,1,2,3,3,1,3,2
207,1,1,1,2,3,3,2,1,2
208,1,1,1,2,3,3,2,2,2
209,1,1,1,2,3,3,2,3,2
210,1,1,1,2,3,3,3,1,2
211,1,1,1,2,3,3,3,2,2
212,1,1,1,2,3,3,3,3,2
213,1,1,1,2,3,3,4,1,2
214,1,1,1,2,3,3,4,2,2
215,1,1,1,2,3,3,4,3,2
216,1,1,1,3,1,1,1,1,2
217,1,1,1,3,1,1,1,2,2
218,1,1,1,3,1,1,1,3,2
219,1,1,1,3,1,1,2,1,2
220,1,1,1,3,1,1,2,2,2
221,1,1,1,3,1,1,2,3,2
222,1,1,1,3,1,1,3,1,2
223,1,1,1,3,1,1,3,2,2
224,1,1,1,3,1,1,3,3,2
225,1,1,1,3,1,1,4,1,2
226,1,1,1,3,1,1,4,2,2
227,1,1,1,3,1,1,4,3,2
228,1,1,1,3,1,2,1,1,2
229,1,1,1,3,1,2,1,2,2
230,1,1,1,3,1,2,1,3,2
231,1,1,1,3,1,2,2,1,2
232,1,1,1,3,1,2,2,2,2
233,1,1,1,3,1,2,2,3,2
234,1,1,1,3,1,2,3,1,2
235,1,1,1,3,1,2,3,2,2
236,1,1,1,3,1,2,3,3,2
237,1,1,1,3,1,2,4,1,2
238,1,1,1,3,1,2,4,2,2
239,1,1,1,3,1,2,4,3,2
240,1,1,1,3,1,3,1,1,2
241,1,1,1,3,1,3,1,2,2
242,1,1,1,3,1,3,1,3,2
243,1,1,1,3,1,3,2,1,2
244,1,1,1,3,1,3,2,2,2
245,1,1,1,3,1,3,2,3,2
246,1,1,1,3,1,3,3,1,2
247,1,1,1,3,1,3,3,2,2
248,1,1,1,3,1,3,3,3,2
249,1,1,1,3,1,3,4,1,2
250,1,1,1,3,1,3,4,2,2
251,1,1,1,3,1,3,4,3,2
252,1,1,1,3,2,1,1,1,2
253,1,1,1,3,2,1,1,2,2
254,1,1,1,3,2,1,1,3,2
255,1,1,1,3,2,1,2,1,2
256,1,1,1,3,2,1,2,2,2
257,1,1,1,3,2,1,2,3,2
258,1,1,1,3,2,1,3,1,2
259,1,1,1,3,2,1,3,2,2
260,1,1,1,3,2,1,3,3,2
261,1,1,1,3,2,1,4,1,2
262,1,1,1,3,2,1,4,2,2
263,1,1,1,3,2,1,4,3,2
264,1,1,1,3,2,2,1,1,2
265,1,1,1,3,2,2,1,2,2
266,1,1,1,3,2,2,1,3,2
267,1,1,1,3,2,2,2,1,2
268,1,1,1,3,2,2,2,2,2
269,1,1,1,3,2,2,2,3,2
270,1,1,1,3,2,2,3,1,2
271,1,1,1,3,2,2,3,2,2
272,1,1,1,3,2,2,3,3,2
273,1,1,1,3,2,2,4,1,2
274,1,1,1,3,2,2,4,2,2
275,1,1,1,3,2,2,4,3,2
276,1,1,1,3,2,3,1,1,2
277,1,1,1,3,2,3,1,2,2
278,1,1,1,3,2,3,1,3,2
279,1,1,1,3,2,3,2,1,2
280,1,1,1,3,2,3,2,2,2
281,1,1,1,3,2,3,2,3,2
282,1,1,1,3,2,3,3,1,2
283,1,1,1,3,2,3,3,2,2
284,1,1,1,3,2,3,3,3,2
285,1,1,1,3,2,3,4,1,2
286,1,1,1,3,2,3,4,2,2
287,1,1,1,3,2,3,4,3,2
288,1,1,1,3,3,1,1,1,2
289,1,1,1,3,3,1,1,2,2
290,1,1,1,3,3,1,1,3,2
291,1,1,1,3,3,1,2,1,2
292,1,1,1,3,3,1,2,2,2
293,1,1,1,3,3,1,2,3,2
294,1,1,1,3,3,1,3,1,2
295,1,1,1,3,3,1,3,2,2
296,1,1,1,3,3,1,3,3,2
297,1,1,1,3,3,1,4,1,2
298,1,1,1,3,3,1,4,2,2
299,1,1,1,3,3,1,4,3,2
300,1,1,1,3,3,2,1,1,2
301,1,1,1,3,3,2,1,2,2
302,1,1,1,3,3,2,1,3,2
303,1,1,1,3,3,2,2,1,2
304,1,1,1,3,3,2,2,2,2
305,1,1,1,3,3,2,2,3,2
306,1,1,1,3,3,2,3,1,2
307,1,1,1,3,3,2,3,2,2
308,1,1,1,3,3,2,3,3,2
309,1,1,1,3,3,2,4,1,2
310,1,1,1,3,3,2,4,2,2
311,1,1,1,3,3,2,4,3,2
312,1,1,1,3,3,3,1,1,2
313,1,1,1,3,3,3,1,2,2
314,1,1,1,3,3,3,1,3,2
315,1,1,1,3,3,3,2,1,2
316,1,1,1,3,3,3,2,2,2
317,1,1,1,3,3,3,2,3,2
318,1,1,1,3,3,3,3,1,2
319,1,1,1,3,3,3,3,2,2
320,1,1,1,3,3,3,3,3,2
321,1,1,1,3,3,3,4,1,2
322,1,1,1,3,3,3,4,2,2
323,1,1,1,3,3,3,4,3,2
324,1,1,2,1,1,1,1,1,2
325,1,1,2,1,1,1,1,2,2
326,1,1,2,1,1,1,1,3,2
327,1,1,2,1,1,1,2,1,2
328,1,1,2,1,1,1,2,2,2
329,1,1,2,1,1,1,2,3,2
330,1,1,2,1,1,1,3,1,2
331,1,1,2,1,1,1,3,2,2
332,1,1,2,1,1,1,3,3,2
333,1,1,2,1,1,1,4,1,2
334,1,1,2,1,1,1,4,2,2
335,1,1,2,1,1,1,4,3,2
336,1,1,2,1,1,2,1,1,2
337,1,1,2,1,1,2,1,2,2
338,1,1,2,1,1,2,1,3,2
339,1,1,2,1,1,2,2,1,2
340,1,1,2,1,1,2,2,2,2
341,1,1,2,1,1,2,2,3,2
342,1,1,2,1,1,2,3,1,2
343,1,1,2,1,1,2,3,2,2
344,1,1,2,1,1,2,3,3,2
345,1,1,2,1,1,2,4,1,2
346,1,1,2,1,1,2,4,2,2
347,1,1,2,1,1,2,4,3,2
348,1,1,2,1,1,3,1,1,2
349,1,1,2,1,1,3,1,2,2
350,1,1,2,1,1,3,1,3,2
351,1,1,2,1,1,3,2,1,2
352,1,1,2,1,1,3,2,2,2
353,1,1,2,1,1,3,2,3,2
354,1,1,2,1,1,3,3,1,2
355,1,1,2,1,1,3,3,2,2
356,1,1,2,1,1,3,3,3,2
357,1,1,2,1,1,3,4,1,2
358,1,1,2,1,1,3,4,2,2
359,1,1,2,1,1,3,4,3,2
360,1,1,2,1,2,1,1,1,2
361,1,1,2,1,2,1,1,2,2
362,1,1,2,1,2,1,1,3,2
363,1,1,2,1,2,1,2,1,2
364,1,1,2,1,2,1,2,2,2
365,1,1,2,1,2,1,2,3,2
366,1,1,2,1,2,1,3,1,2
367,1,1,2,1,2,1,3,2,2
368,1,1,2,1,2,1,3,3,2
369,1,1,2,1,2,1,4,1,2
370,1,1,2,1,2,1,4,2,2
371,1,1,2,1,2,1,4,3,2
372,1,1,2,1,2,2,1,1,2
373,1,1,2,1,2,2,1,2,2
374,1,1,2,1,2,2,1,3,2
375,1,1,2,1,2,2,2,1,2
376,1,1,2,1,2,2,2,2,2
377,1,1,2,1,2,2,2,3,2
378,1,1,2,1,2,2,3,1,2
379,1,1,2,1,2,2,3,2,2
380,1,1,2,1,2,2,3,3,2
381,1,1,2,1,2,2,4,1,2
382,1,1,2,1,2,2,4,2,2
383,1,1,2,1,2,2,4,3,2
384,1,1,2,1,2,3,1,1,2
385,1,1,2,1,2,3,1,2,2
386,1,1,2,1,2,3,1,3,2
387,1,1,2,1,2,3,2,1,2
388,1,1,2,1,2,3,2,2,2
389,1,1,2,1,2,3,2,3,2
390,1,1,2,1,2,3,3,1,2
391,1,1,2,1,2,3,3,2,2
392,1,1,2,1,2,3,3,3,2
393,1,1,2,1,2,3,4,1,2
394,1,1,2,1,2,3,4,2,2
395,1,1,2,1,2,3,4,3,2
396,1,1,2,1,3,1,1,1,2
397,1,1,2,1,3,1,1,2,2
398,1,1,2,1,3,1,1,3,2
399,1,1,2,1,3,1,2,1,2
400,1,1,2,1,3,1,2,2,2
401,1,1,2,1,3,1,2,3,2
402,1,1,2,1,3,1,3,1,2
403,1,1,2,1,3,1,3,2,2
404,1,1,2,1,3,1,3,3,2
405,1,1,2,1,3,1,4,1,2
406,1,1,2,1,3,1,4,2,2
407,1,1,2,1,3,1,4,3,2
408,1,1,2,1,3,2,1,1,2
409,1,1,2,1,3,2,1,2,2
410,1,1,2,1,3,2,1,3,2
411,1,1,2,1,3,2,2,1,2
412,1,1,2,1,3,2,2,2,2
413,1,1,2,1,3,2,2,3,2
414,1,1,2,1,3,2,3,1,2
415,1,1,2,1,3,2,3,2,2
416,1,1,2,1,3,2,3,3,2
417,1,1,2,1,3,2,4,1,2
418,1,1,2,1,3,2,4,2,2
419,1,1,2,1,3,2,4,3,2
420,1,1,2,1,3,3,1,1,2
421,1,1,2,1,3,3,1,2,2
422,1,1,2,1,3,3,1,3,2
423,1,1,2,1,3,3,2,1,2
424,1,1,2,1,3,3,2,2,2
425,1,1,2,1,3,3,2,3,2
426,1,1,2,1,3,3,3,1,2
427,1,1,2,1,3,3,3,2,2
428,1,1,2,1,3,3,3,3,2
429,1,1,2,1,3,3,4,1,2
430,1,1,2,1,3,3,4,2,2
431,1,1,2,1,3,3,4,3,2
432,1,1,2,2,1,1,1,1,2
433,1,1,2,2,1,1,1,2,2
434,1,1,2,2,1,1,1,3,2
435,1,1,2,2,1,1,2,1,2
436,1,1,2,2,1,1,2,2,2
437,1,1,2,2,1,1,2,3,2
438,1,1,2,2,1,1,3,1,2
439,1,1,2,2,1,1,3,2,2
440,1,1,2,2,1,1,3,3,2
441,1,1,2,2,1,1,4,1,2
442,1,1,2,2,1,1,4,2,2
443,1,1,2,2,1,1,4,3,2
444,1,1,2,2,1,2,1,1,2
445,1,1,2,2,1,2,1,2,2
446,1,1,2,2,1,2,1,3,2
447,1,1,2,2,1,2,2,1,2
448,1,1,2,2,1,2,2,2,2
449,1,1,2,2,1,2,2,3,2
450,1,1,2,2,1,2,3,1,2
451,1,1,2,2,1,2,3,2,2
452,1,1,2,2,1,2,3,3,2
453,1,1,2,2,1,2,4,1,2
454,1,1,2,2,1,2,4,2,2
455,1,1,2,2,1,2,4,3,2
456,1,1,2,2,1,3,1,1,2
457,1,1,2,2,1,3,1,2,2
458,1,1,2,2,1,3,1,3,2
459,1,1,2,2,1,3,2,1,2
460,1,1,2,2,1,3,2,2,2
461,1,1,2,2,1,3,2,3,2
462,1,1,2,2,1,3,3,1,2
463,1,1,2,2,1,3,3,2,2
464,1,1,2,2,1,3,3,3,2
465,1,1,2,2,1,3,4,1,2
466,1,1,2,2,1,3,4,2,2
467,1,1,2,2,1,3,4,3,2
468,1,1,2,2,2,1,1,1,2
469,1,1,2,2,2,1,1,2,2
470,1,1,2,2,2,1,1,3,2
471,1,1,2,2,2,1,2,1,2
472,1,1,2,2,2,1,2,2,2
473,1,1,2,2,2,1,2,3,2
474,1,1,2,2,2,1,3,1,2
475,1,1,2,2,2,1,3,2,2
476,1,1,2,2,2,1,3,3,2
477,1,1,2,2,2,1,4,1,2
478,1,1,2,2,2,1,4,2,2
479,1,1,2,2,2,1,4,3,2
480,1,1,2,2,2,2,1,1,2
481,1,1,2,2,2,2,1,2,2
482,1,1,2,2,2,2,1,3,2
483,1,1,2,2,2,2,2,1,2
484,1,1,2,2,2,2,2,2,2
485,1,1,2,2,2,2,2,3,2
486,1,1,2,2,2,2,3,1,2
487,1,1,2,2,2,2,3,2,2
488,1,1,2,2,2,2,3,3,2
489,1,1,2,2,2,2,4,1,2
490,1,1,2,2,2,2,4,2,2
491,1,1,2,2,2,2,4,3,2
492,1,1,2,2,2,3,1,1,2
493,1,1,2,2,2,3,1,2,2
494,1,1,2,2,2,3,1,3,2
495,1,1,2,2,2,3,2,1,2
496,1,1,2,2,2,3,2,2,2
497,1,1,2,2,2,3,2,3,2
498,1,1,2,2,2,3,3,1,2
499,1,1,2,2,2,3,3,2,2
500,1,1,2,2,2,3,3,3,2
501,1,1,2,2,2,3,4,1,2
502,1,1,2,2,2,3,4,2,2
503,1,1,2,2,2,3,4,3,2
504,1,1,2,2,3,1,1,1,2
505,1,1,2,2,3,1,1,2,2
506,1,1,2,2,3,1,1,3,2
507,1,1,2,2,3,1,2,1,2
508,1,1,2,2,3,1,2,2,2
509,1,1,2,2,3,1,2,3,2
510,1,1,2,2,3,1,3,1,2
511,1,1,2,2,3,1,3,2,2
512,1,1,2,2,3,1,3,3,2
513,1,1,2,2,3,1,4,1,2
514,1,1,2,2,3,1,4,2,2
515,1,1,2,2,3,1,4,3,2
516,1,1,2,2,3,2,1,1,2
517,1,1,2,2,3,2,1,2,2
518,1,1,2,2,3,2,1,3,2
519,1,1,2,2,3,2,2,1,2
520,1,1,2,2,3,2,2,2,2
521,1,1,2,2,3,2,2,3,2
522,1,1,2,2,3,2,3,1,2
523,1,1,2,2,3,2,3,2,2
524,1,1,2,2,3,2,3,3,2
525,1,1,2,2,3,2,4,1,2
526,1,1,2,2,3,2,4,2,2
527,1,1,2,2,3,2,4,3,2
528,1,1,2,2,3,3,1,1,2
529,1,1,2,2,3,3,1,2,2
530,1,1,2,2,3,3,1,3,2
531,1,1,2,2,3,3,2,1,2
532,1,1,2,2,3,3,2,2,2
533,1,1,2,2,3,3,2,3,2
534,1,1,2,2,3,3,3,1,2
535,1,1,2,2,3,3,3,2,2
536,1,1,2,2,3,3,3,3,2
537,1,1,2,2,3,3,4,1,2
538,1,1,2,2,3,3,4,2,2
539,1,1,2,2,3,3,4,3,2
540,1,1,2,3,1,1,1,1,2
541,1,1,2,3,1,1,1,2,2
542,1,1,2,3,1,1,1,3,2
543,1,1,2,3,1,1,2,1,2
544,1,1,2,3,1,1,2,2,2
545,1,1,2,3,1,1,2,3,2
546,1,1,2,3,1,1,3,1,2
547,1,1,2,3,1,1,3,2,2
548,1,1,2,3,1,1,3,3,2
549,1,1,2,3,1,1,4,1,2
550,1,1,2,3,1,1,4,2,2
551,1,1,2,3,1,1,4,3,2
552,1,1,2,3,1,2,1,1,2
553,1,1,2,3,1,2,1,2,2
554,1,1,2,3,1,2,1,3,2
555,1,1,2,3,1,2,2,1,2
556,1,1,2,3,1,2,2,2,2
557,1,1,2,3,1,2,2,3,2
558,1,1,2,3,1,2,3,1,2
559,1,1,2,3,1,2,3,2,2
560,1,1,2,3,1,2,3,3,2
561,1,1,2,3,1,2,4,1,2
562,1,1,2,3,1,2,4,2,2
563,1,1,2,3,1,2,4,3,2
564,1,1,2,3,1,3,1,1,2
565,1,1,2,3,1,3,1,2,2
566,1,1,2,3,1,3,1,3,2
567,1,1,2,3,1,3,2,1,2
568,1,1,2,3,1,3,2,2,2
569,1,1,2,3,1,3,2,3,2
570,1,1,2,3,1,3,3,1,2
571,1,1,2,3,1,3,3,2,2
572,1,1,2,3,1,3,3,3,2
573,1,1,2,3,1,3,4,1,2
574,1,1,2,3,1,3,4,2,2
575,1,1,2,3,1,3,4,3,2
576,1,1,2,3,2,1,1,1,2
577,1,1,2,3,2,1,1,2,2
578,1,1,2,3,2,1,1,3,2
579,1,1,2,3,2,1,2,1,2
580,1,1,2,3,2,1,2,2,2
581,1,1,2,3,2,1,2,3,2
582,1,1,2,3,2,1,3,1,2
583,1,1,2,3,2,1,3,2,2
584,1,1,2,3,2,1,3,3,2
585,1,1,2,3,2,1,4,1,2
586,1,1,2,3,2,1,4,2,2
587,1,1,2,3,2,1,4,3,2
588,1,1,2,3,2,2,1,1,2
589,1,1,2,3,2,2,1,2,2
590,1,1,2,3,2,2,1,3,2
591,1,1,2,3,2,2,2,1,2
592,1,1,2,3,2,2,2,2,2
593,1,1,2,3,2,2,2,3,2
594,1,1,2,3,2,2,3,1,2
595,1,1,2,3,2,2,3,2,2
596,1,1,2,3,2,2,3,3,2
597,1,1,2,3,2,2,4,1,2
598,1,1,2,3,2,2,4,2,2
599,1,1,2,3,2,2,4,3,2
600,1,1,2,3,2,3,1,1,2
601,1,1,2,3,2,3,1,2,2
602,1,1,2,3,2,3,1,3,2
603,1,1,2,3,2,3,2,1,2
604,1,1,2,3,2,3,2,2,2
605,1,1,2,3,2,3,2,3,2
606,1,1,2,3,2,3,3,1,2
607,1,1,2,3,2,3,3,2,2
608,1,1,2,3,2,3,3,3,2
609,1,1,2,3,2,3,4,1,2
610,1,1,2,3,2,3,4,2,2
611,1,1,2,3,2,3,4,3,2
612,1,1,2,3,3,1,1,1,2
613,1,1,2,3,3,1,1,2,2
614,1,1,2,3,3,1,1,3,2
615,1,1,2,3,3,1,2,1,2
616,1,1,2,3,3,1,2,2,2
617,1,1,2,3,3,1,2,3,2
618,1,1,2,3,3,1,3,1,2
619,1,1,2,3,3,1,3,2,2
620,1,1,2,3,3,1,3,3,2
621,1,1,2,3,3,1,4,1,2
622,1,1,2,3,3,1,4,2,2
623,1,1,2,3,3,1,4,3,2
624,1,1,2,3,3,2,1,1,2
625,1,1,2,3,3,2,1,2,2
626,1,1,2,3,3,2,1,3,2
627,1,1,2,3,3,2,2,1,2
628,1,1,2,3,3,2,2,2,2
629,1,1,2,3,3,2,2,3,2
630,1,1,2,3,3,2,3,1,2
631,1,1,2,3,3,2,3,2,2
632,1,1,2,3,3,2,3,3,2
633,1,1,2,3,3,2,4,1,2
634,1,1,2,3,3,2,4,2,2
635,1,1,2,3,3,2,4,3,2
636,1,1,2,3,3,3,1,1,2
637,1,1,2,3,3,3,1,2,2
638,1,1,2,3,3,3,1,3,2
639,1,1,2,3,3,3,2,1,2
640,1,1,2,3,3,3,2,2,2
641,1,1,2,3,3,3,2,3,2
642,1,1,2,3,3,3,3,1,2
643,1,1,2,3,3,3,3,2,2
644,1,1,2,3,3,3,3,3,2
645,1,1,2,3,3,3,4,1,2
646,1,1,2,3,3,3,4,2,2
647,1,1,2,3,3,3,4,3,2
648,1,1,3,1,1,1,1,1,2
649,1,1,3,1,1,1,1,2,2
650,1,1,3,1,1,1,1,3,2
651,1,1,3,1,1,1,2,1,2
652,1,1,3,1,1,1,2,2,2
653,1,1,3,1,1,1,2,3,2
654,1,1,3,1,1,1,3,1,2
655,1,1,3,1,1,1,3,2,2
656,1,1,3,1,1,1,3,3,2
657,1,1,3,1,1,1,4,1,2
658,1,1,3,1,1,1,4,2,2
659,1,1,3,1,1,1,4,3,2
660,1,1,3,1,1,2,1,1,2
661,1,1,3,1,1,2,1,2,2
662,1,1,3,1,1,2,1,3,2
663,1,1,3,1,1,2,2,1,2
664,1,1,3,1,1,2,2,2,2
665,1,1,3,1,1,2,2,3,2
666,1,1,3,1,1,2,3,1,2
667,1,1,3,1,1,2,3,2,2
668,1,1,3,1,1,2,3,3,2
669,1,1,3,1,1,2,4,1,2
670,1,1,3,1,1,2,4,2,2
671,1,1,3,1,1,2,4,3,2
672,1,1,3,1,1,3,1,1,2
673,1,1,3,1,1,3,1,2,2
674,1,1,3,1,1,3,1,3,2
675,1,1,3,1,1,3,2,1,2
676,1,1,3,1,1,3,2,2,2
677,1,1,3,1,1,3,2,3,2
678,1,1,3,1,1,3,3,1,2
679,1,1,3,1,1,3,3,2,2
680,1,1,3,1,1,3,3,3,2
681,1,1,3,1,1,3,4,1,2
682,1,1,3,1,1,3,4,2,2
683,1,1,3,1,1,3,4,3,2
684,1,1,3,1,2,1,1,1,2
685,1,1,3,1,2,1,1,2,2
686,1,1,3,1,2,1,1,3,2
687,1,1,3,1,2,1,2,1,2
688,1,1,3,1,2,1,2,2,2
689,1,1,3,1,2,1,2,3,2
690,1,1,3,1,2,1,3,1,2
691,1,1,3,1,2,1,3,2,2
692,1,1,3,1,2,1,3,3,2
693,1,1,3,1,2,1,4,1,2
694,1,1,3,1,2,1,4,2,2
695,1,1,3,1,2,1,4,3,2
696,1,1,3,1,2,2,1,1,2
