Food,B,C,D,E,F,G,H,I,J
147,1,1,1,2,2,1,2,1,5
148,1,1,1,2,2,1,2,2,5
149,1,1,1,2,2,1,2,3,5
150,1,1,1,2,2,1,3,1,5
151,1,1,1,2,2,1,3,2,5
152,1,1,1,2,2,1,3,3,5
153,1,1,1,2,2,1,4,1,5
154,1,1,1,2,2,1,4,2,5
155,1,1,1,2,2,1,4,3,5
156,1,1,1,2,2,2,1,1,5
157,1,1,1,2,2,2,1,2,5
158,1,1,1,2,2,2,1,3,5
159,1,1,1,2,2,2,2,1,5
160,1,1,1,2,2,2,2,2,5
161,1,1,1,2,2,2,2,3,5
162,1,1,1,2,2,2,3,1,5
163,1,1,1,2,2,2,3,2,5
164,1,1,1,2,2,2,3,3,5
165,1,1,1,2,2,2,4,1,5
166,1,1,1,2,2,2,4,2,5
167,1,1,1,2,2,2,4,3,5
168,1,1,1,2,2,3,1,1,5
169,1,1,1,2,2,3,1,2,5
170,1,1,1,2,2,3,1,3,5
171,1,1,1,2,2,3,2,1,5
172,1,1,1,2,2,3,2,2,5
173,1,1,1,2,2,3,2,3,5
174,1,1,1,2,2,3,3,1,5
175,1,1,1,2,2,3,3,2,5
176,1,1,1,2,2,3,3,3,5
177,1,1,1,2,2,3,4,1,5
178,1,1,1,2,2,3,4,2,5
179,1,1,1,2,2,3,4,3,5
180,1,1,1,2,3,1,1,1,5
181,1,1,1,2,3,1,1,2,5
182,1,1,1,2,3,1,1,3,5
183,1,1,1,2,3,1,2,1,5
184,1,1,1,2,3,1,2,2,5
185,1,1,1,2,3,1,2,3,5
186,1,1,1,2,3,1,3,1,5
187,1,1,1,2,3,1,3,2,5
188,1,1,1,2,3,1,3,3,5
189,1,1,1,2,3,1,4,1,5
190,1,1,1,2,3,1,4,2,5
191,1,1,1,2,3,1,4,3,5
192,1,1,1,2,3,2,1,1,5
193,1,1,1,2,3,2,1,2,5
194,1,1,1,2,3,2,1,3,5
195,1,1,1,2,3,2,2,1,5
196,1,1,1,2,3,2,2,2,5
197,1,1,1,2,3,2,2,3,5
198,1,1,1,2,3,2,3,1,5
199,1,1,1,2,3,2,3,2,5
200,1,1,1,2,3,2,3,3,5
201,1,1,1,2,3,2,4,1,5
202,1,1,1,2,3,2,4,2,5
203,1,1,1,2,3,2,4,3,5
204,1,1,1,2,3,3,1,1,5
205,1,1,1,2,3,3,1,2,5
206,1,1,1,2,3,3,1,3,5
207,1,1,1,2,3,3,2,1,5
208,1,1,1,2,3,3,2,2,5
209,1,1,1,2,3,3,2,3,5
210,1,1,1,2,3,3,3,1,5
211,1,1,1,2,3,3,3,2,5
212,1,1,1,2,3,3,3,3,5
213,1,1,1,2,3,3,4,1,5
214,1,1,1,2,3,3,4,2,5
215,1,1,1,2,3,3,4,3,5
216,1,1,1,3,1,1,1,1,5
217,1,1,1,3,1,1,1,2,5
218,1,1,1,3,1,1,1,3,5
219,1,1,1,3,1,1,2,1,5
220,1,1,1,3,1,1,2,2,5
221,1,1,1,3,1,1,2,3,5
222,1,1,1,3,1,1,3,1,5
223,1,1,1,3,1,1,3,2,5
224,1,1,1,3,1,1,3,3,5
225,1,1,1,3,1,1,4,1,5
226,1,1,1,3,1,1,4,2,5
227,1,1,1,3,1,1,4,3,5
228,1,1,1,3,1,2,1,1,5
229,1,1,1,3,1,2,1,2,5
230,1,1,1,3,1,2,1,3,5
231,1,1,1,3,1,2,2,1,5
232,1,1,1,3,1,2,2,2,5
233,1,1,1,3,1,2,2,3,5
234,1,1,1,3,1,2,3,1,5
235,1,1,1,3,1,2,3,2,5
236,1,1,1,3,1,2,3,3,5
237,1,1,1,3,1,2,4,1,5
238,1,1,1,3,1,2,4,2,5
239,1,1,1,3,1,2,4,3,5
240,1,1,1,3,1,3,1,1,5
241,1,1,1,3,1,3,1,2,5
242,1,1,1,3,1,3,1,3,5
243,1,1,1,3,1,3,2,1,5
244,1,1,1,3,1,3,2,2,5
245,1,1,1,3,1,3,2,3,5
246,1,1,1,3,1,3,3,1,5
247,1,1,1,3,1,3,3,2,5
248,1,1,1,3,1,3,3,3,5
249,1,1,1,3,1,3,4,1,5
250,1,1,1,3,1,3,4,2,5
251,1,1,1,3,1,3,4,3,5
252,1,1,1,3,2,1,1,1,5
253,1,1,1,3,2,1,1,2,5
254,1,1,1,3,2,1,1,3,5
255,1,1,1,3,2,1,2,1,5
256,1,1,1,3,2,1,2,2,5
257,1,1,1,3,2,1,2,3,5
258,1,1,1,3,2,1,3,1,5
259,1,1,1,3,2,1,3,2,5
260,1,1,1,3,2,1,3,3,5
261,1,1,1,3,2,1,4,1,5
262,1,1,1,3,2,1,4,2,5
263,1,1,1,3,2,1,4,3,5
264,1,1,1,3,2,2,1,1,5
265,1,1,1,3,2,2,1,2,5
266,1,1,1,3,2,2,1,3,5
267,1,1,1,3,2,2,2,1,5
268,1,1,1,3,2,2,2,2,5
269,1,1,1,3,2,2,2,3,5
270,1,1,1,3,2,2,3,1,5
271,1,1,1,3,2,2,3,2,5
272,1,1,1,3,2,2,3,3,5
273,1,1,1,3,2,2,4,1,5
274,1,1,1,3,2,2,4,2,5
275,1,1,1,3,2,2,4,3,5
276,1,1,1,3,2,3,1,1,5
277,1,1,1,3,2,3,1,2,5
278,1,1,1,3,2,3,1,3,5
279,1,1,1,3,2,3,2,1,5
280,1,1,1,3,2,3,2,2,5
281,1,1,1,3,2,3,2,3,5
282,1,1,1,3,2,3,3,1,5
283,1,1,1,3,2,3,3,2,5
284,1,1,1,3,2,3,3,3,5
285,1,1,1,3,2,3,4,1,5
286,1,1,1,3,2,3,4,2,5
287,1,1,1,3,2,3,4,3,5
288,1,1,1,3,3,1,1,1,5
289,1,1,1,3,3,1,1,2,5
290,1,1,1,3,3,1,1,3,5
291,1,1,1,3,3,1,2,1,5
292,1,1,1,3,3,1,2,2,5
293,1,1,1,3,3,1,2,3,5
294,1,1,1,3,3,1,3,1,5
295,1,1,1,3,3,1,3,2,5
296,1,1,1,3,3,1,3,3,5
297,1,1,1,3,3,1,4,1,5
298,1,1,1,3,3,1,4,2,5
299,1,1,1,3,3,1,4,3,5
300,1,1,1,3,3,2,1,1,5
301,1,1,1,3,3,2,1,2,5
302,1,1,1,3,3,2,1,3,5
303,1,1,1,3,3,2,2,1,5
304,1,1,1,3,3,2,2,2,5
305,1,1,1,3,3,2,2,3,5
306,1,1,1,3,3,2,3,1,5
307,1,1,1,3,3,2,3,2,5
308,1,1,1,3,3,2,3,3,5
309,1,1,1,3,3,2,4,1,5
310,1,1,1,3,3,2,4,2,5
311,1,1,1,3,3,2,4,3,5
312,1,1,1,3,3,3,1,1,5
313,1,1,1,3,3,3,1,2,5
314,1,1,1,3,3,3,1,3,5
315,1,1,1,3,3,3,2,1,5
316,1,1,1,3,3,3,2,2,5
317,1,1,1,3,3,3,2,3,5
318,1,1,1,3,3,3,3,1,5
319,1,1,1,3,3,3,3,2,5
320,1,1,1,3,3,3,3,3,5
321,1,1,1,3,3,3,4,1,5
322,1,1,1,3,3,3,4,2,5
323,1,1,1,3,3,3,4,3,5
324,1,1,2,1,1,1,1,1,5
325,1,1,2,1,1,1,1,2,5
326,1,1,2,1,1,1,1,3,5
327,1,1,2,1,1,1,2,1,5
328,1,1,2,1,1,1,2,2,5
329,1,1,2,1,1,1,2,3,5
330,1,1,2,1,1,1,3,1,5
331,1,1,2,1,1,1,3,2,5
332,1,1,2,1,1,1,3,3,5
333,1,1,2,1,1,1,4,1,5
334,1,1,2,1,1,1,4,2,5
335,1,1,2,1,1,1,4,3,5
336,1,1,2,1,1,2,1,1,5
337,1,1,2,1,1,2,1,2,5
338,1,1,2,1,1,2,1,3,5
339,1,1,2,1,1,2,2,1,5
340,1,1,2,1,1,2,2,2,5
341,1,1,2,1,1,2,2,3,5
342,1,1,2,1,1,2,3,1,5
343,1,1,2,1,1,2,3,2,5
344,1,1,2,1,1,2,3,3,5
345,1,1,2,1,1,2,4,1,5
346,1,1,2,1,1,2,4,2,5
347,1,1,2,1,1,2,4,3,5
348,1,1,2,1,1,3,1,1,5
349,1,1,2,1,1,3,1,2,5
350,1,1,2,1,1,3,1,3,5
351,1,1,2,1,1,3,2,1,5
352,1,1,2,1,1,3,2,2,5
353,1,1,2,1,1,3,2,3,5
354,1,1,2,1,1,3,3,1,5
355,1,1,2,1,1,3,3,2,5
356,1,1,2,1,1,3,3,3,5
357,1,1,2,1,1,3,4,1,5
358,1,1,2,1,1,3,4,2,5
359,1,1,2,1,1,3,4,3,5
360,1,1,2,1,2,1,1,1,5
361,1,1,2,1,2,1,1,2,5
362,1,1,2,1,2,1,1,3,5
363,1,1,2,1,2,1,2,1,5
364,1,1,2,1,2,1,2,2,5
365,1,1,2,1,2,1,2,3,5
366,1,1,2,1,2,1,3,1,5
367,1,1,2,1,2,1,3,2,5
368,1,1,2,1,2,1,3,3,5
369,1,1,2,1,2,1,4,1,5
370,1,1,2,1,2,1,4,2,5
371,1,1,2,1,2,1,4,3,5
372,1,1,2,1,2,2,1,1,5
373,1,1,2,1,2,2,1,2,5
374,1,1,2,1,2,2,1,3,5
375,1,1,2,1,2,2,2,1,5
376,1,1,2,1,2,2,2,2,5
377,1,1,2,1,2,2,2,3,5
378,1,1,2,1,2,2,3,1,5
379,1,1,2,1,2,2,3,2,5
380,1,1,2,1,2,2,3,3,5
381,1,1,2,1,2,2,4,1,5
382,1,1,2,1,2,2,4,2,5
383,1,1,2,1,2,2,4,3,5
384,1,1,2,1,2,3,1,1,5
385,1,1,2,1,2,3,1,2,5
386,1,1,2,1,2,3,1,3,5
387,1,1,2,1,2,3,2,1,5
388,1,1,2,1,2,3,2,2,5
389,1,1,2,1,2,3,2,3,5
390,1,1,2,1,2,3,3,1,5
391,1,1,2,1,2,3,3,2,5
392,1,1,2,1,2,3,3,3,5
393,1,1,2,1,2,3,4,1,5
394,1,1,2,1,2,3,4,2,5
395,1,1,2,1,2,3,4,3,5
396,1,1,2,1,3,1,1,1,5
397,1,1,2,1,3,1,1,2,5
398,1,1,2,1,3,1,1,3,5
399,1,1,2,1,3,1,2,1,5
400,1,1,2,1,3,1,2,2,5
401,1,1,2,1,3,1,2,3,5
402,1,1,2,1,3,1,3,1,5
403,1,1,2,1,3,1,3,2,5
404,1,1,2,1,3,1,3,3,5
405,1,1,2,1,3,1,4,1,5
406,1,1,2,1,3,1,4,2,5
407,1,1,2,1,3,1,4,3,5
408,1,1,2,1,3,2,1,1,5
409,1,1,2,1,3,2,1,2,5
410,1,1,2,1,3,2,1,3,5
411,1,1,2,1,3,2,2,1,5
412,1,1,2,1,3,2,2,2,5
413,1,1,2,1,3,2,2,3,5
414,1,1,2,1,3,2,3,1,5
415,1,1,2,1,3,2,3,2,5
416,1,1,2,1,3,2,3,3,5
417,1,1,2,1,3,2,4,1,5
418,1,1,2,1,3,2,4,2,5
419,1,1,2,1,3,2,4,3,5
420,1,1,2,1,3,3,1,1,5
421,1,1,2,1,3,3,1,2,5
422,1,1,2,1,3,3,1,3,5
423,1,1,2,1,3,3,2,1,5
424,1,1,2,1,3,3,2,2,5
425,1,1,2,1,3,3,2,3,5
426,1,1,2,1,3,3,3,1,5
427,1,1,2,1,3,3,3,2,5
428,1,1,2,1,3,3,3,3,5
429,1,1,2,1,3,3,4,1,5
430,1,1,2,1,3,3,4,2,5
431,1,1,2,1,3,3,4,3,5
432,1,1,2,2,1,1,1,1,5
433,1,1,2,2,1,1,1,2,5
434,1,1,2,2,1,1,1,3,5
435,1,1,2,2,1,1,2,1,5
436,1,1,2,2,1,1,2,2,5
437,1,1,2,2,1,1,2,3,5
438,1,1,2,2,1,1,3,1,5
439,1,1,2,2,1,1,3,2,5
440,1,1,2,2,1,1,3,3,5
441,1,1,2,2,1,1,4,1,5
442,1,1,2,2,1,1,4,2,5
443,1,1,2,2,1,1,4,3,5
444,1,1,2,2,1,2,1,1,5
445,1,1,2,2,1,2,1,2,5
446,1,1,2,2,1,2,1,3,5
447,1,1,2,2,1,2,2,1,5
448,1,1,2,2,1,2,2,2,5
449,1,1,2,2,1,2,2,3,5
450,1,1,2,2,1,2,3,1,5
451,1,1,2,2,1,2,3,2,5
452,1,1,2,2,1,2,3,3,5
453,1,1,2,2,1,2,4,1,5
454,1,1,2,2,1,2,4,2,5
455,1,1,2,2,1,2,4,3,5
456,1,1,2,2,1,3,1,1,5
457,1,1,2,2,1,3,1,2,5
458,1,1,2,2,1,3,1,3,5
459,1,1,2,2,1,3,2,1,5
460,1,1,2,2,1,3,2,2,5
461,1,1,2,2,1,3,2,3,5
462,1,1,2,2,1,3,3,1,5
463,1,1,2,2,1,3,3,2,5
464,1,1,2,2,1,3,3,3,5
465,1,1,2,2,1,3,4,1,5
466,1,1,2,2,1,3,4,2,5
467,1,1,2,2,1,3,4,3,5
468,1,1,2,2,2,1,1,1,5
469,1,1,2,2,2,1,1,2,5
470,1,1,2,2,2,1,1,3,5
471,1,1,2,2,2,1,2,1,5
472,1,1,2,2,2,1,2,2,5
473,1,1,2,2,2,1,2,3,5
474,1,1,2,2,2,1,3,1,5
475,1,1,2,2,2,1,3,2,5
476,1,1,2,2,2,1,3,3,5
477,1,1,2,2,2,1,4,1,5
478,1,1,2,2,2,1,4,2,5
479,1,1,2,2,2,1,4,3,5
480,1,1,2,2,2,2,1,1,5
481,1,1,2,2,2,2,1,2,5
482,1,1,2,2,2,2,1,3,5
483,1,1,2,2,2,2,2,1,5
484,1,1,2,2,2,2,2,2,5
485,1,1,2,2,2,2,2,3,5
486,1,1,2,2,2,2,3,1,5
487,1,1,2,2,2,2,3,2,5
488,1,1,2,2,2,2,3,3,5
489,1,1,2,2,2,2,4,1,5
490,1,1,2,2,2,2,4,2,5
491,1,1,2,2,2,2,4,3,5
492,1,1,2,2,2,3,1,1,5
493,1,1,2,2,2,3,1,2,5
494,1,1,2,2,2,3,1,3,5
495,1,1,2,2,2,3,2,1,5
496,1,1,2,2,2,3,2,2,5
497,1,1,2,2,2,3,2,3,5
498,1,1,2,2,2,3,3,1,5
499,1,1,2,2,2,3,3,2,5
500,1,1,2,2,2,3,3,3,5
501,1,1,2,2,2,3,4,1,5
502,1,1,2,2,2,3,4,2,5
503,1,1,2,2,2,3,4,3,5
504,1,1,2,2,3,1,1,1,5
505,1,1,2,2,3,1,1,2,5
506,1,1,2,2,3,1,1,3,5
507,1,1,2,2,3,1,2,1,5
508,1,1,2,2,3,1,2,2,5
509,1,1,2,2,3,1,2,3,5
510,1,1,2,2,3,1,3,1,5
511,1,1,2,2,3,1,3,2,5
512,1,1,2,2,3,1,3,3,5
513,1,1,2,2,3,1,4,1,5
514,1,1,2,2,3,1,4,2,5
515,1,1,2,2,3,1,4,3,5
516,1,1,2,2,3,2,1,1,5
517,1,1,2,2,3,2,1,2,5
518,1,1,2,2,3,2,1,3,5
519,1,1,2,2,3,2,2,1,5
520,1,1,2,2,3,2,2,2,5
521,1,1,2,2,3,2,2,3,5
522,1,1,2,2,3,2,3,1,5
523,1,1,2,2,3,2,3,2,5
524,1,1,2,2,3,2,3,3,5
525,1,1,2,2,3,2,4,1,5
526,1,1,2,2,3,2,4,2,5
527,1,1,2,2,3,2,4,3,5
528,1,1,2,2,3,3,1,1,5
529,1,1,2,2,3,3,1,2,5
530,1,1,2,2,3,3,1,3,5
531,1,1,2,2,3,3,2,1,5
532,1,1,2,2,3,3,2,2,5
533,1,1,2,2,3,3,2,3,5
534,1,1,2,2,3,3,3,1,5
535,1,1,2,2,3,3,3,2,5
536,1,1,2,2,3,3,3,3,5
537,1,1,2,2,3,3,4,1,5
538,1,1,2,2,3,3,4,2,5
539,1,1,2,2,3,3,4,3,5
540,1,1,2,3,1,1,1,1,5
541,1,1,2,3,1,1,1,2,5
542,1,1,2,3,1,1,1,3,5
543,1,1,2,3,1,1,2,1,5
544,1,1,2,3,1,1,2,2,5
545,1,1,2,3,1,1,2,3,5
546,1,1,2,3,1,1,3,1,5
547,1,1,2,3,1,1,3,2,5
548,1,1,2,3,1,1,3,3,5
549,1,1,2,3,1,1,4,1,5
550,1,1,2,3,1,1,4,2,5
551,1,1,2,3,1,1,4,3,5
552,1,1,2,3,1,2,1,1,5
553,1,1,2,3,1,2,1,2,5
554,1,1,2,3,1,2,1,3,5
555,1,1,2,3,1,2,2,1,5
556,1,1,2,3,1,2,2,2,5
557,1,1,2,3,1,2,2,3,5
558,1,1,2,3,1,2,3,1,5
559,1,1,2,3,1,2,3,2,5
560,1,1,2,3,1,2,3,3,5
561,1,1,2,3,1,2,4,1,5
562,1,1,2,3,1,2,4,2,5
563,1,1,2,3,1,2,4,3,5
564,1,1,2,3,1,3,1,1,5
565,1,1,2,3,1,3,1,2,5
566,1,1,2,3,1,3,1,3,5
567,1,1,2,3,1,3,2,1,5
568,1,1,2,3,1,3,2,2,5
569,1,1,2,3,1,3,2,3,5
570,1,1,2,3,1,3,3,1,5
571,1,1,2,3,1,3,3,2,5
572,1,1,2,3,1,3,3,3,5
573,1,1,2,3,1,3,4,1,5
574,1,1,2,3,1,3,4,2,5
575,1,1,2,3,1,3,4,3,5
576,1,1,2,3,2,1,1,1,5
577,1,1,2,3,2,1,1,2,5
578,1,1,2,3,2,1,1,3,5
579,1,1,2,3,2,1,2,1,5
580,1,1,2,3,2,1,2,2,5
581,1,1,2,3,2,1,2,3,5
582,1,1,2,3,2,1,3,1,5
583,1,1,2,3,2,1,3,2,5
584,1,1,2,3,2,1,3,3,5
585,1,1,2,3,2,1,4,1,5
586,1,1,2,3,2,1,4,2,5
587,1,1,2,3,2,1,4,3,5
588,1,1,2,3,2,2,1,1,5
589,1,1,2,3,2,2,1,2,5
590,1,1,2,3,2,2,1,3,5
591,1,1,2,3,2,2,2,1,5
592,1,1,2,3,2,2,2,2,5
593,1,1,2,3,2,2,2,3,5
594,1,1,2,3,2,2,3,1,5
595,1,1,2,3,2,2,3,2,5
596,1,1,2,3,2,2,3,3,5
597,1,1,2,3,2,2,4,1,5
598,1,1,2,3,2,2,4,2,5
599,1,1,2,3,2,2,4,3,5
600,1,1,2,3,2,3,1,1,5
601,1,1,2,3,2,3,1,2,5
602,1,1,2,3,2,3,1,3,5
603,1,1,2,3,2,3,2,1,5
604,1,1,2,3,2,3,2,2,5
605,1,1,2,3,2,3,2,3,5
606,1,1,2,3,2,3,3,1,5
607,1,1,2,3,2,3,3,2,5
608,1,1,2,3,2,3,3,3,5
609,1,1,2,3,2,3,4,1,5
610,1,1,2,3,2,3,4,2,5
611,1,1,2,3,2,3,4,3,5
612,1,1,2,3,3,1,1,1,5
613,1,1,2,3,3,1,1,2,5
614,1,1,2,3,3,1,1,3,5
615,1,1,2,3,3,1,2,1,5
616,1,1,2,3,3,1,2,2,5
617,1,1,2,3,3,1,2,3,5
618,1,1,2,3,3,1,3,1,5
619,1,1,2,3,3,1,3,2,5
620,1,1,2,3,3,1,3,3,5
621,1,1,2,3,3,1,4,1,5
622,1,1,2,3,3,1,4,2,5
623,1,1,2,3,3,1,4,3,5
624,1,1,2,3,3,2,1,1,5
625,1,1,2,3,3,2,1,2,5
626,1,1,2,3,3,2,1,3,5
627,1,1,2,3,3,2,2,1,5
628,1,1,2,3,3,2,2,2,5
629,1,1,2,3,3,2,2,3,5
630,1,1,2,3,3,2,3,1,5
631,1,1,2,3,3,2,3,2,5
632,1,1,2,3,3,2,3,3,5
633,1,1,2,3,3,2,4,1,5
634,1,1,2,3,3,2,4,2,5
635,1,1,2,3,3,2,4,3,5
636,1,1,2,3,3,3,1,1,5
637,1,1,2,3,3,3,1,2,5
638,1,1,2,3,3,3,1,3,5
639,1,1,2,3,3,3,2,1,5
640,1,1,2,3,3,3,2,2,5
641,1,1,2,3,3,3,2,3,5
642,1,1,2,3,3,3,3,1,5
643,1,1,2,3,3,3,3,2,5
644,1,1,2,3,3,3,3,3,5
645,1,1,2,3,3,3,4,1,5
646,1,1,2,3,3,3,4,2,5
647,1,1,2,3,3,3,4,3,5
648,1,1,3,1,1,1,1,1,5
649,1,1,3,1,1,1,1,2,5
650,1,1,3,1,1,1,1,3,5
651,1,1,3,1,1,1,2,1,5
652,1,1,3,1,1,1,2,2,5
653,1,1,3,1,1,1,2,3,5
654,1,1,3,1,1,1,3,1,5
655,1,1,3,1,1,1,3,2,5
656,1,1,3,1,1,1,3,3,5
657,1,1,3,1,1,1,4,1,5
658,1,1,3,1,1,1,4,2,5
659,1,1,3,1,1,1,4,3,5
660,1,1,3,1,1,2,1,1,5
661,1,1,3,1,1,2,1,2,5
662,1,1,3,1,1,2,1,3,5
663,1,1,3,1,1,2,2,1,5
664,1,1,3,1,1,2,2,2,5
665,1,1,3,1,1,2,2,3,5
666,1,1,3,1,1,2,3,1,5
667,1,1,3,1,1,2,3,2,5
668,1,1,3,1,1,2,3,3,5
669,1,1,3,1,1,2,4,1,5
670,1,1,3,1,1,2,4,2,5
671,1,1,3,1,1,2,4,3,5
672,1,1,3,1,1,3,1,1,5
673,1,1,3,1,1,3,1,2,5
674,1,1,3,1,1,3,1,3,5
675,1,1,3,1,1,3,2,1,5
676,1,1,3,1,1,3,2,2,5
677,1,1,3,1,1,3,2,3,5
678,1,1,3,1,1,3,3,1,5
679,1,1,3,1,1,3,3,2,5
680,1,1,3,1,1,3,3,3,5
681,1,1,3,1,1,3,4,1,5
682,1,1,3,1,1,3,4,2,5
683,1,1,3,1,1,3,4,3,5
684,1,1,3,1,2,1,1,1,5
685,1,1,3,1,2,1,1,2,5
686,1,1,3,1,2,1,1,3,5
687,1,1,3,1,2,1,2,1,5
688,1,1,3,1,2,1,2,2,5
689,1,1,3,1,2,1,2,3,5
690,1,1,3,1,2,1,3,1,5
691,1,1,3,1,2,1,3,2,5
692,1,1,3,1,2,1,3,3,5
693,1,1,3,1,2,1,4,1,5
694,1,1,3,1,2,1,4,2,5
695,1,1,3,1,2,1,4,3,5
696,1,1,3,1,2,2,1,1,5
