Type,B,C,D,E,F,G,H,I,J
108,1,1,1,2,1,1,1,1,4
109,1,1,1,2,1,1,1,2,4
111,1,1,1,2,1,1,2,1,4
112,1,1,1,2,1,1,2,2,4
113,1,1,1,2,1,1,2,3,4
114,1,1,1,2,1,1,3,1,4
115,1,1,1,2,1,1,3,2,4
116,1,1,1,2,1,1,3,3,4
117,1,1,1,2,1,1,4,1,4
118,1,1,1,2,1,1,4,2,4
119,1,1,1,2,1,1,4,3,4
120,1,1,1,2,1,2,1,1,4
121,1,1,1,2,1,2,1,2,4
122,1,1,1,2,1,2,1,3,4
123,1,1,1,2,1,2,2,1,4
125,1,1,1,2,1,2,2,3,4
126,1,1,1,2,1,2,3,1,4
127,1,1,1,2,1,2,3,2,4
128,1,1,1,2,1,2,3,3,4
129,1,1,1,2,1,2,4,1,4
130,1,1,1,2,1,2,4,2,4
131,1,1,1,2,1,2,4,3,4
132,1,1,1,2,1,3,1,1,4
133,1,1,1,2,1,3,1,2,4
135,1,1,1,2,1,3,2,1,4
136,1,1,1,2,1,3,2,2,4
137,1,1,1,2,1,3,2,3,4
138,1,1,1,2,1,3,3,1,4
140,1,1,1,2,1,3,3,3,4
141,1,1,1,2,1,3,4,1,4
142,1,1,1,2,1,3,4,2,4
143,1,1,1,2,1,3,4,3,4
144,1,1,1,2,2,1,1,1,4
145,1,1,1,2,2,1,1,2,4
146,1,1,1,2,2,1,1,3,4
147,1,1,1,2,2,1,2,1,4
148,1,1,1,2,2,1,2,2,4
149,1,1,1,2,2,1,2,3,4
150,1,1,1,2,2,1,3,1,4
152,1,1,1,2,2,1,3,3,4
153,1,1,1,2,2,1,4,1,4
155,1,1,1,2,2,1,4,3,4
156,1,1,1,2,2,2,1,1,4
157,1,1,1,2,2,2,1,2,4
158,1,1,1,2,2,2,1,3,4
159,1,1,1,2,2,2,2,1,4
160,1,1,1,2,2,2,2,2,4
161,1,1,1,2,2,2,2,3,4
162,1,1,1,2,2,2,3,1,4
163,1,1,1,2,2,2,3,2,4
165,1,1,1,2,2,2,4,1,4
166,1,1,1,2,2,2,4,2,4
168,1,1,1,2,2,3,1,1,4
169,1,1,1,2,2,3,1,2,4
170,1,1,1,2,2,3,1,3,4
171,1,1,1,2,2,3,2,1,4
172,1,1,1,2,2,3,2,2,4
173,1,1,1,2,2,3,2,3,4
174,1,1,1,2,2,3,3,1,4
175,1,1,1,2,2,3,3,2,4
176,1,1,1,2,2,3,3,3,4
179,1,1,1,2,2,3,4,3,4
180,1,1,1,2,3,1,1,1,4
181,1,1,1,2,3,1,1,2,4
182,1,1,1,2,3,1,1,3,4
183,1,1,1,2,3,1,2,1,4
184,1,1,1,2,3,1,2,2,4
185,1,1,1,2,3,1,2,3,4
186,1,1,1,2,3,1,3,1,4
187,1,1,1,2,3,1,3,2,4
188,1,1,1,2,3,1,3,3,4
189,1,1,1,2,3,1,4,1,4
190,1,1,1,2,3,1,4,2,4
191,1,1,1,2,3,1,4,3,4
192,1,1,1,2,3,2,1,1,4
193,1,1,1,2,3,2,1,2,4
194,1,1,1,2,3,2,1,3,4
196,1,1,1,2,3,2,2,2,4
197,1,1,1,2,3,2,2,3,4
198,1,1,1,2,3,2,3,1,4
200,1,1,1,2,3,2,3,3,4
201,1,1,1,2,3,2,4,1,4
202,1,1,1,2,3,2,4,2,4
203,1,1,1,2,3,2,4,3,4
204,1,1,1,2,3,3,1,1,4
205,1,1,1,2,3,3,1,2,4
206,1,1,1,2,3,3,1,3,4
207,1,1,1,2,3,3,2,1,4
208,1,1,1,2,3,3,2,2,4
209,1,1,1,2,3,3,2,3,4
210,1,1,1,2,3,3,3,1,4
211,1,1,1,2,3,3,3,2,4
212,1,1,1,2,3,3,3,3,4
213,1,1,1,2,3,3,4,1,4
214,1,1,1,2,3,3,4,2,4
215,1,1,1,2,3,3,4,3,4
216,1,1,1,3,1,1,1,1,4
217,1,1,1,3,1,1,1,2,4
218,1,1,1,3,1,1,1,3,4
219,1,1,1,3,1,1,2,1,4
220,1,1,1,3,1,1,2,2,4
221,1,1,1,3,1,1,2,3,4
222,1,1,1,3,1,1,3,1,4
223,1,1,1,3,1,1,3,2,4
225,1,1,1,3,1,1,4,1,4
226,1,1,1,3,1,1,4,2,4
227,1,1,1,3,1,1,4,3,4
228,1,1,1,3,1,2,1,1,4
229,1,1,1,3,1,2,1,2,4
230,1,1,1,3,1,2,1,3,4
231,1,1,1,3,1,2,2,1,4
232,1,1,1,3,1,2,2,2,4
233,1,1,1,3,1,2,2,3,4
234,1,1,1,3,1,2,3,1,4
237,1,1,1,3,1,2,4,1,4
238,1,1,1,3,1,2,4,2,4
239,1,1,1,3,1,2,4,3,4
240,1,1,1,3,1,3,1,1,4
241,1,1,1,3,1,3,1,2,4
242,1,1,1,3,1,3,1,3,4
243,1,1,1,3,1,3,2,1,4
244,1,1,1,3,1,3,2,2,4
245,1,1,1,3,1,3,2,3,4
246,1,1,1,3,1,3,3,1,4
247,1,1,1,3,1,3,3,2,4
248,1,1,1,3,1,3,3,3,4
249,1,1,1,3,1,3,4,1,4
250,1,1,1,3,1,3,4,2,4
251,1,1,1,3,1,3,4,3,4
252,1,1,1,3,2,1,1,1,4
253,1,1,1,3,2,1,1,2,4
255,1,1,1,3,2,1,2,1,4
256,1,1,1,3,2,1,2,2,4
257,1,1,1,3,2,1,2,3,4
258,1,1,1,3,2,1,3,1,4
259,1,1,1,3,2,1,3,2,4
260,1,1,1,3,2,1,3,3,4
261,1,1,1,3,2,1,4,1,4
262,1,1,1,3,2,1,4,2,4
263,1,1,1,3,2,1,4,3,4
264,1,1,1,3,2,2,1,1,4
265,1,1,1,3,2,2,1,2,4
266,1,1,1,3,2,2,1,3,4
267,1,1,1,3,2,2,2,1,4
268,1,1,1,3,2,2,2,2,4
269,1,1,1,3,2,2,2,3,4
270,1,1,1,3,2,2,3,1,4
271,1,1,1,3,2,2,3,2,4
272,1,1,1,3,2,2,3,3,4
273,1,1,1,3,2,2,4,1,4
274,1,1,1,3,2,2,4,2,4
275,1,1,1,3,2,2,4,3,4
276,1,1,1,3,2,3,1,1,4
277,1,1,1,3,2,3,1,2,4
278,1,1,1,3,2,3,1,3,4
279,1,1,1,3,2,3,2,1,4
280,1,1,1,3,2,3,2,2,4
281,1,1,1,3,2,3,2,3,4
282,1,1,1,3,2,3,3,1,4
283,1,1,1,3,2,3,3,2,4
284,1,1,1,3,2,3,3,3,4
285,1,1,1,3,2,3,4,1,4
286,1,1,1,3,2,3,4,2,4
287,1,1,1,3,2,3,4,3,4
288,1,1,1,3,3,1,1,1,4
289,1,1,1,3,3,1,1,2,4
290,1,1,1,3,3,1,1,3,4
291,1,1,1,3,3,1,2,1,4
292,1,1,1,3,3,1,2,2,4
293,1,1,1,3,3,1,2,3,4
294,1,1,1,3,3,1,3,1,4
295,1,1,1,3,3,1,3,2,4
296,1,1,1,3,3,1,3,3,4
297,1,1,1,3,3,1,4,1,4
298,1,1,1,3,3,1,4,2,4
299,1,1,1,3,3,1,4,3,4
300,1,1,1,3,3,2,1,1,4
301,1,1,1,3,3,2,1,2,4
302,1,1,1,3,3,2,1,3,4
303,1,1,1,3,3,2,2,1,4
304,1,1,1,3,3,2,2,2,4
305,1,1,1,3,3,2,2,3,4
306,1,1,1,3,3,2,3,1,4
307,1,1,1,3,3,2,3,2,4
308,1,1,1,3,3,2,3,3,4
309,1,1,1,3,3,2,4,1,4
310,1,1,1,3,3,2,4,2,4
311,1,1,1,3,3,2,4,3,4
313,1,1,1,3,3,3,1,2,4
314,1,1,1,3,3,3,1,3,4
315,1,1,1,3,3,3,2,1,4
317,1,1,1,3,3,3,2,3,4
318,1,1,1,3,3,3,3,1,4
320,1,1,1,3,3,3,3,3,4
321,1,1,1,3,3,3,4,1,4
322,1,1,1,3,3,3,4,2,4
323,1,1,1,3,3,3,4,3,4
324,1,1,2,1,1,1,1,1,4
325,1,1,2,1,1,1,1,2,4
326,1,1,2,1,1,1,1,3,4
327,1,1,2,1,1,1,2,1,4
328,1,1,2,1,1,1,2,2,4
329,1,1,2,1,1,1,2,3,4
330,1,1,2,1,1,1,3,1,4
331,1,1,2,1,1,1,3,2,4
332,1,1,2,1,1,1,3,3,4
333,1,1,2,1,1,1,4,1,4
334,1,1,2,1,1,1,4,2,4
335,1,1,2,1,1,1,4,3,4
336,1,1,2,1,1,2,1,1,4
337,1,1,2,1,1,2,1,2,4
338,1,1,2,1,1,2,1,3,4
339,1,1,2,1,1,2,2,1,4
340,1,1,2,1,1,2,2,2,4
341,1,1,2,1,1,2,2,3,4
342,1,1,2,1,1,2,3,1,4
343,1,1,2,1,1,2,3,2,4
345,1,1,2,1,1,2,4,1,4
346,1,1,2,1,1,2,4,2,4
347,1,1,2,1,1,2,4,3,4
348,1,1,2,1,1,3,1,1,4
349,1,1,2,1,1,3,1,2,4
351,1,1,2,1,1,3,2,1,4
352,1,1,2,1,1,3,2,2,4
353,1,1,2,1,1,3,2,3,4
354,1,1,2,1,1,3,3,1,4
355,1,1,2,1,1,3,3,2,4
357,1,1,2,1,1,3,4,1,4
358,1,1,2,1,1,3,4,2,4
359,1,1,2,1,1,3,4,3,4
360,1,1,2,1,2,1,1,1,4
361,1,1,2,1,2,1,1,2,4
362,1,1,2,1,2,1,1,3,4
363,1,1,2,1,2,1,2,1,4
364,1,1,2,1,2,1,2,2,4
366,1,1,2,1,2,1,3,1,4
367,1,1,2,1,2,1,3,2,4
368,1,1,2,1,2,1,3,3,4
369,1,1,2,1,2,1,4,1,4
371,1,1,2,1,2,1,4,3,4
372,1,1,2,1,2,2,1,1,4
373,1,1,2,1,2,2,1,2,4
374,1,1,2,1,2,2,1,3,4
375,1,1,2,1,2,2,2,1,4
376,1,1,2,1,2,2,2,2,4
377,1,1,2,1,2,2,2,3,4
378,1,1,2,1,2,2,3,1,4
379,1,1,2,1,2,2,3,2,4
381,1,1,2,1,2,2,4,1,4
382,1,1,2,1,2,2,4,2,4
383,1,1,2,1,2,2,4,3,4
384,1,1,2,1,2,3,1,1,4
385,1,1,2,1,2,3,1,2,4
386,1,1,2,1,2,3,1,3,4
387,1,1,2,1,2,3,2,1,4
388,1,1,2,1,2,3,2,2,4
389,1,1,2,1,2,3,2,3,4
390,1,1,2,1,2,3,3,1,4
391,1,1,2,1,2,3,3,2,4
392,1,1,2,1,2,3,3,3,4
393,1,1,2,1,2,3,4,1,4
394,1,1,2,1,2,3,4,2,4
395,1,1,2,1,2,3,4,3,4
396,1,1,2,1,3,1,1,1,4
397,1,1,2,1,3,1,1,2,4
398,1,1,2,1,3,1,1,3,4
399,1,1,2,1,3,1,2,1,4
400,1,1,2,1,3,1,2,2,4
403,1,1,2,1,3,1,3,2,4
404,1,1,2,1,3,1,3,3,4
405,1,1,2,1,3,1,4,1,4
406,1,1,2,1,3,1,4,2,4
407,1,1,2,1,3,1,4,3,4
408,1,1,2,1,3,2,1,1,4
409,1,1,2,1,3,2,1,2,4
410,1,1,2,1,3,2,1,3,4
411,1,1,2,1,3,2,2,1,4
412,1,1,2,1,3,2,2,2,4
413,1,1,2,1,3,2,2,3,4
414,1,1,2,1,3,2,3,1,4
415,1,1,2,1,3,2,3,2,4
416,1,1,2,1,3,2,3,3,4
417,1,1,2,1,3,2,4,1,4
418,1,1,2,1,3,2,4,2,4
419,1,1,2,1,3,2,4,3,4
420,1,1,2,1,3,3,1,1,4
421,1,1,2,1,3,3,1,2,4
422,1,1,2,1,3,3,1,3,4
424,1,1,2,1,3,3,2,2,4
425,1,1,2,1,3,3,2,3,4
426,1,1,2,1,3,3,3,1,4
427,1,1,2,1,3,3,3,2,4
428,1,1,2,1,3,3,3,3,4
429,1,1,2,1,3,3,4,1,4
430,1,1,2,1,3,3,4,2,4
431,1,1,2,1,3,3,4,3,4
432,1,1,2,2,1,1,1,1,4
433,1,1,2,2,1,1,1,2,4
434,1,1,2,2,1,1,1,3,4
435,1,1,2,2,1,1,2,1,4
436,1,1,2,2,1,1,2,2,4
437,1,1,2,2,1,1,2,3,4
438,1,1,2,2,1,1,3,1,4
439,1,1,2,2,1,1,3,2,4
440,1,1,2,2,1,1,3,3,4
441,1,1,2,2,1,1,4,1,4
442,1,1,2,2,1,1,4,2,4
445,1,1,2,2,1,2,1,2,4
446,1,1,2,2,1,2,1,3,4
447,1,1,2,2,1,2,2,1,4
448,1,1,2,2,1,2,2,2,4
449,1,1,2,2,1,2,2,3,4
450,1,1,2,2,1,2,3,1,4
451,1,1,2,2,1,2,3,2,4
452,1,1,2,2,1,2,3,3,4
453,1,1,2,2,1,2,4,1,4
454,1,1,2,2,1,2,4,2,4
455,1,1,2,2,1,2,4,3,4
456,1,1,2,2,1,3,1,1,4
457,1,1,2,2,1,3,1,2,4
458,1,1,2,2,1,3,1,3,4
459,1,1,2,2,1,3,2,1,4
460,1,1,2,2,1,3,2,2,4
461,1,1,2,2,1,3,2,3,4
462,1,1,2,2,1,3,3,1,4
463,1,1,2,2,1,3,3,2,4
464,1,1,2,2,1,3,3,3,4
465,1,1,2,2,1,3,4,1,4
466,1,1,2,2,1,3,4,2,4
467,1,1,2,2,1,3,4,3,4
468,1,1,2,2,2,1,1,1,4
469,1,1,2,2,2,1,1,2,4
470,1,1,2,2,2,1,1,3,4
471,1,1,2,2,2,1,2,1,4
472,1,1,2,2,2,1,2,2,4
473,1,1,2,2,2,1,2,3,4
474,1,1,2,2,2,1,3,1,4
475,1,1,2,2,2,1,3,2,4
476,1,1,2,2,2,1,3,3,4
477,1,1,2,2,2,1,4,1,4
478,1,1,2,2,2,1,4,2,4
479,1,1,2,2,2,1,4,3,4
480,1,1,2,2,2,2,1,1,4
482,1,1,2,2,2,2,1,3,4
483,1,1,2,2,2,2,2,1,4
485,1,1,2,2,2,2,2,3,4
486,1,1,2,2,2,2,3,1,4
487,1,1,2,2,2,2,3,2,4
488,1,1,2,2,2,2,3,3,4
489,1,1,2,2,2,2,4,1,4
491,1,1,2,2,2,2,4,3,4
492,1,1,2,2,2,3,1,1,4
494,1,1,2,2,2,3,1,3,4
495,1,1,2,2,2,3,2,1,4
496,1,1,2,2,2,3,2,2,4
497,1,1,2,2,2,3,2,3,4
498,1,1,2,2,2,3,3,1,4
499,1,1,2,2,2,3,3,2,4
500,1,1,2,2,2,3,3,3,4
501,1,1,2,2,2,3,4,1,4
502,1,1,2,2,2,3,4,2,4
503,1,1,2,2,2,3,4,3,4
504,1,1,2,2,3,1,1,1,4
505,1,1,2,2,3,1,1,2,4
506,1,1,2,2,3,1,1,3,4
507,1,1,2,2,3,1,2,1,4
508,1,1,2,2,3,1,2,2,4
509,1,1,2,2,3,1,2,3,4
510,1,1,2,2,3,1,3,1,4
511,1,1,2,2,3,1,3,2,4
513,1,1,2,2,3,1,4,1,4
514,1,1,2,2,3,1,4,2,4
515,1,1,2,2,3,1,4,3,4
516,1,1,2,2,3,2,1,1,4
517,1,1,2,2,3,2,1,2,4
518,1,1,2,2,3,2,1,3,4
519,1,1,2,2,3,2,2,1,4
520,1,1,2,2,3,2,2,2,4
522,1,1,2,2,3,2,3,1,4
523,1,1,2,2,3,2,3,2,4
524,1,1,2,2,3,2,3,3,4
525,1,1,2,2,3,2,4,1,4
526,1,1,2,2,3,2,4,2,4
527,1,1,2,2,3,2,4,3,4
528,1,1,2,2,3,3,1,1,4
529,1,1,2,2,3,3,1,2,4
531,1,1,2,2,3,3,2,1,4
532,1,1,2,2,3,3,2,2,4
533,1,1,2,2,3,3,2,3,4
534,1,1,2,2,3,3,3,1,4
535,1,1,2,2,3,3,3,2,4
536,1,1,2,2,3,3,3,3,4
537,1,1,2,2,3,3,4,1,4
538,1,1,2,2,3,3,4,2,4
539,1,1,2,2,3,3,4,3,4
540,1,1,2,3,1,1,1,1,4
541,1,1,2,3,1,1,1,2,4
542,1,1,2,3,1,1,1,3,4
543,1,1,2,3,1,1,2,1,4
544,1,1,2,3,1,1,2,2,4
545,1,1,2,3,1,1,2,3,4
546,1,1,2,3,1,1,3,1,4
547,1,1,2,3,1,1,3,2,4
548,1,1,2,3,1,1,3,3,4
549,1,1,2,3,1,1,4,1,4
550,1,1,2,3,1,1,4,2,4
551,1,1,2,3,1,1,4,3,4
552,1,1,2,3,1,2,1,1,4
553,1,1,2,3,1,2,1,2,4
554,1,1,2,3,1,2,1,3,4
555,1,1,2,3,1,2,2,1,4
556,1,1,2,3,1,2,2,2,4
557,1,1,2,3,1,2,2,3,4
558,1,1,2,3,1,2,3,1,4
559,1,1,2,3,1,2,3,2,4
560,1,1,2,3,1,2,3,3,4
561,1,1,2,3,1,2,4,1,4
562,1,1,2,3,1,2,4,2,4
563,1,1,2,3,1,2,4,3,4
564,1,1,2,3,1,3,1,1,4
565,1,1,2,3,1,3,1,2,4
567,1,1,2,3,1,3,2,1,4
568,1,1,2,3,1,3,2,2,4
569,1,1,2,3,1,3,2,3,4
570,1,1,2,3,1,3,3,1,4
572,1,1,2,3,1,3,3,3,4
573,1,1,2,3,1,3,4,1,4
575,1,1,2,3,1,3,4,3,4
576,1,1,2,3,2,1,1,1,4
577,1,1,2,3,2,1,1,2,4
578,1,1,2,3,2,1,1,3,4
579,1,1,2,3,2,1,2,1,4
582,1,1,2,3,2,1,3,1,4
583,1,1,2,3,2,1,3,2,4
584,1,1,2,3,2,1,3,3,4
585,1,1,2,3,2,1,4,1,4
586,1,1,2,3,2,1,4,2,4
587,1,1,2,3,2,1,4,3,4
589,1,1,2,3,2,2,1,2,4
590,1,1,2,3,2,2,1,3,4
592,1,1,2,3,2,2,2,2,4
593,1,1,2,3,2,2,2,3,4
594,1,1,2,3,2,2,3,1,4
595,1,1,2,3,2,2,3,2,4
596,1,1,2,3,2,2,3,3,4
597,1,1,2,3,2,2,4,1,4
598,1,1,2,3,2,2,4,2,4
599,1,1,2,3,2,2,4,3,4
600,1,1,2,3,2,3,1,1,4
601,1,1,2,3,2,3,1,2,4
602,1,1,2,3,2,3,1,3,4
603,1,1,2,3,2,3,2,1,4
604,1,1,2,3,2,3,2,2,4
605,1,1,2,3,2,3,2,3,4
606,1,1,2,3,2,3,3,1,4
607,1,1,2,3,2,3,3,2,4
608,1,1,2,3,2,3,3,3,4
609,1,1,2,3,2,3,4,1,4
610,1,1,2,3,2,3,4,2,4
611,1,1,2,3,2,3,4,3,4
612,1,1,2,3,3,1,1,1,4
613,1,1,2,3,3,1,1,2,4
614,1,1,2,3,3,1,1,3,4
615,1,1,2,3,3,1,2,1,4
616,1,1,2,3,3,1,2,2,4
617,1,1,2,3,3,1,2,3,4
618,1,1,2,3,3,1,3,1,4
619,1,1,2,3,3,1,3,2,4
620,1,1,2,3,3,1,3,3,4
621,1,1,2,3,3,1,4,1,4
622,1,1,2,3,3,1,4,2,4
623,1,1,2,3,3,1,4,3,4
624,1,1,2,3,3,2,1,1,4
625,1,1,2,3,3,2,1,2,4
626,1,1,2,3,3,2,1,3,4
627,1,1,2,3,3,2,2,1,4
628,1,1,2,3,3,2,2,2,4
629,1,1,2,3,3,2,2,3,4
630,1,1,2,3,3,2,3,1,4
631,1,1,2,3,3,2,3,2,4
632,1,1,2,3,3,2,3,3,4
633,1,1,2,3,3,2,4,1,4
634,1,1,2,3,3,2,4,2,4
635,1,1,2,3,3,2,4,3,4
636,1,1,2,3,3,3,1,1,4
637,1,1,2,3,3,3,1,2,4
638,1,1,2,3,3,3,1,3,4
639,1,1,2,3,3,3,2,1,4
640,1,1,2,3,3,3,2,2,4
641,1,1,2,3,3,3,2,3,4
642,1,1,2,3,3,3,3,1,4
643,1,1,2,3,3,3,3,2,4
644,1,1,2,3,3,3,3,3,4
645,1,1,2,3,3,3,4,1,4
646,1,1,2,3,3,3,4,2,4
648,1,1,3,1,1,1,1,1,4
650,1,1,3,1,1,1,1,3,4
651,1,1,3,1,1,1,2,1,4
652,1,1,3,1,1,1,2,2,4
653,1,1,3,1,1,1,2,3,4
655,1,1,3,1,1,1,3,2,4
656,1,1,3,1,1,1,3,3,4
657,1,1,3,1,1,1,4,1,4
658,1,1,3,1,1,1,4,2,4
659,1,1,3,1,1,1,4,3,4
660,1,1,3,1,1,2,1,1,4
661,1,1,3,1,1,2,1,2,4
662,1,1,3,1,1,2,1,3,4
663,1,1,3,1,1,2,2,1,4
664,1,1,3,1,1,2,2,2,4
665,1,1,3,1,1,2,2,3,4
666,1,1,3,1,1,2,3,1,4
667,1,1,3,1,1,2,3,2,4
668,1,1,3,1,1,2,3,3,4
669,1,1,3,1,1,2,4,1,4
671,1,1,3,1,1,2,4,3,4
672,1,1,3,1,1,3,1,1,4
673,1,1,3,1,1,3,1,2,4
674,1,1,3,1,1,3,1,3,4
676,1,1,3,1,1,3,2,2,4
677,1,1,3,1,1,3,2,3,4
678,1,1,3,1,1,3,3,1,4
679,1,1,3,1,1,3,3,2,4
680,1,1,3,1,1,3,3,3,4
681,1,1,3,1,1,3,4,1,4
682,1,1,3,1,1,3,4,2,4
683,1,1,3,1,1,3,4,3,4
684,1,1,3,1,2,1,1,1,4
685,1,1,3,1,2,1,1,2,4
687,1,1,3,1,2,1,2,1,4
688,1,1,3,1,2,1,2,2,4
689,1,1,3,1,2,1,2,3,4
690,1,1,3,1,2,1,3,1,4
691,1,1,3,1,2,1,3,2,4
692,1,1,3,1,2,1,3,3,4
693,1,1,3,1,2,1,4,1,4
694,1,1,3,1,2,1,4,2,4
695,1,1,3,1,2,1,4,3,4
696,1,1,3,1,2,2,1,1,4
697,1,1,3,1,2,2,1,2,4
698,1,1,3,1,2,2,1,3,4
699,1,1,3,1,2,2,2,1,4
700,1,1,3,1,2,2,2,2,4
701,1,1,3,1,2,2,2,3,4
702,1,1,3,1,2,2,3,1,4
703,1,1,3,1,2,2,3,2,4
704,1,1,3,1,2,2,3,3,4
705,1,1,3,1,2,2,4,1,4
706,1,1,3,1,2,2,4,2,4
707,1,1,3,1,2,2,4,3,4
708,1,1,3,1,2,3,1,1,4
709,1,1,3,1,2,3,1,2,4
710,1,1,3,1,2,3,1,3,4
711,1,1,3,1,2,3,2,1,4
712,1,1,3,1,2,3,2,2,4
713,1,1,3,1,2,3,2,3,4
714,1,1,3,1,2,3,3,1,4
715,1,1,3,1,2,3,3,2,4
716,1,1,3,1,2,3,3,3,4
717,1,1,3,1,2,3,4,1,4
718,1,1,3,1,2,3,4,2,4
720,1,1,3,1,3,1,1,1,4
721,1,1,3,1,3,1,1,2,4
722,1,1,3,1,3,1,1,3,4
723,1,1,3,1,3,1,2,1,4
724,1,1,3,1,3,1,2,2,4
725,1,1,3,1,3,1,2,3,4
726,1,1,3,1,3,1,3,1,4
727,1,1,3,1,3,1,3,2,4
728,1,1,3,1,3,1,3,3,4
729,1,1,3,1,3,1,4,1,4
730,1,1,3,1,3,1,4,2,4
731,1,1,3,1,3,1,4,3,4
732,1,1,3,1,3,2,1,1,4
735,1,1,3,1,3,2,2,1,4
736,1,1,3,1,3,2,2,2,4
737,1,1,3,1,3,2,2,3,4
738,1,1,3,1,3,2,3,1,4
739,1,1,3,1,3,2,3,2,4
740,1,1,3,1,3,2,3,3,4
741,1,1,3,1,3,2,4,1,4
742,1,1,3,1,3,2,4,2,4
743,1,1,3,1,3,2,4,3,4
744,1,1,3,1,3,3,1,1,4
745,1,1,3,1,3,3,1,2,4
746,1,1,3,1,3,3,1,3,4
747,1,1,3,1,3,3,2,1,4
749,1,1,3,1,3,3,2,3,4
750,1,1,3,1,3,3,3,1,4
751,1,1,3,1,3,3,3,2,4
752,1,1,3,1,3,3,3,3,4
753,1,1,3,1,3,3,4,1,4
754,1,1,3,1,3,3,4,2,4
755,1,1,3,1,3,3,4,3,4
756,1,1,3,2,1,1,1,1,4
757,1,1,3,2,1,1,1,2,4
758,1,1,3,2,1,1,1,3,4
759,1,1,3,2,1,1,2,1,4
761,1,1,3,2,1,1,2,3,4
